,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
298108,Dominican Republic,GDP at market prices (current US$),NY.GDP.MKTP.CD,46906899468.05,48332761304.59,12493395578.76,B
301773,Ecuador,GDP at market prices (current US$),NY.GDP.MKTP.CD,61381322588.24,62141160500.00,23095820432.95,B
305438,"Egypt, Arab Rep.",GDP at market prices (current US$),NY.GDP.MKTP.CD,180213699400.13,175900278259.49,73773897730.15,B
309103,El Salvador,GDP at market prices (current US$),NY.GDP.MKTP.CD,20369738000.00,21039680000.00,3401877608.39,C
312768,Equatorial Guinea,GDP at market prices (current US$),NY.GDP.MKTP.CD,14915946674.49,15663168600.61,6957202818.12,C
316433,Eritrea,GDP at market prices (current US$),NY.GDP.MKTP.CD,1536949598.48,1349081645.53,614835558.67,D
320098,Estonia,GDP at market prices (current US$),NY.GDP.MKTP.CD,19358127565.42,20944777183.46,5912357900.02,C
323763,Ethiopia,GDP at market prices (current US$),NY.GDP.MKTP.CD,26798179788.73,28500351484.78,12953674911.54,B
327428,Faroe Islands,GDP at market prices (current US$),NY.GDP.MKTP.CD,2145181712.31,2289699033.66,455811876.69,D
331093,Fiji,GDP at market prices (current US$),NY.GDP.MKTP.CD,3266963260.46,3272779723.82,704343000.41,D
334758,Finland,GDP at market prices (current US$),NY.GDP.MKTP.CD,238531517758.05,253441821446.13,46606101127.54,B
338423,France,GDP at market prices (current US$),NY.GDP.MKTP.CD,2517697910844.43,2672264309401.46,461929969349.75,A
342088,French Polynesia,GDP at market prices (current US$),NY.GDP.MKTP.CD,3447543137.94,3447543137.94,,D
345753,Gabon,GDP at market prices (current US$),NY.GDP.MKTP.CD,13228519020.51,13398770976.10,4163248452.99,C
349418,"Gambia, The",GDP at market prices (current US$),NY.GDP.MKTP.CD,838649856.15,898620580.12,119945653.20,D
353083,Georgia,GDP at market prices (current US$),NY.GDP.MKTP.CD,10900820237.21,11202672966.75,4225727713.05,C
356748,Germany,GDP at market prices (current US$),NY.GDP.MKTP.CD,3289542490210.95,3428979232148.24,560562432300.48,A
