,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
765981,St. Vincent and the Grenadines,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
769646,Sudan,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,71.98,71.98,8.73,D
773311,Suriname,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.49,98.38,0.88,B
776976,Swaziland,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,92.68,92.68,1.16,C
780641,Sweden,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
784306,Switzerland,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
787971,Syrian Arab Republic,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
791636,Tajikistan,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.85,99.85,,A
795301,Tanzania,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,80.25,80.25,8.05,C
798966,Thailand,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.73,98.01,0.77,B
802631,Timor-Leste,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,79.53,79.53,,C
806296,Togo,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,78.13,78.17,3.29,D
809961,Tonga,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.43,99.43,0.01,A
813626,Trinidad and Tobago,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
817291,Tunisia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,96.89,96.86,0.39,C
820956,Turkey,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.71,98.02,1.31,B
824621,Turkmenistan,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
828286,Turks and Caicos Islands,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
831951,Tuvalu,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
835616,Uganda,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,85.04,84.07,2.06,C
839281,Ukraine,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.97,99.97,,A
842946,United Arab Emirates,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,95.01,95.01,,C
846611,United Kingdom,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
850276,United States,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
853941,Uruguay,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.85,98.86,0.09,B
857606,Uzbekistan,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.94,99.94,0.09,A
861271,Vanuatu,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
864936,"Venezuela, RB","Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.16,98.40,0.53,B
868601,Vietnam,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,95.96,95.96,1.59,C
872266,Virgin Islands (U.S.),"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
875931,West Bank and Gaza,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.20,99.24,0.12,A
879596,"Yemen, Rep.","Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
883261,Zambia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,76.38,76.38,17.44,D
886926,Zimbabwe,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,90.93,90.93,,C
